week_date,day,start_time,end_time,subject_code,subject_name,section,room,type
2026-09-07,Monday,15:15,16:15,CP,Computer Programming,3,G08,Lecture
2026-09-07,Tuesday,15:15,16:15,OCW,Overview of Computer Workshop,3,Lab 103,Lab
2026-09-07,Tuesday,15:15,16:15,CP,Computer Programming,2,G09,Lecture
2026-09-07,Tuesday,15:15,16:15,CP,Computer Programming,4,B03,Lecture
2026-09-07,Tuesday,15:15,16:15,DSMA,Discrete Structures and Matrix Algebra,1,G08,Lecture
2026-09-07,Wednesday,15:15,16:15,DSMA,Discrete Structures and Matrix Algebra,4,G09,Lecture
2026-09-07,Wednesday,15:15,16:15,DLD,Digital Logic Design,2,G08,Lecture
2026-09-07,Wednesday,15:15,16:15,DSMA,Discrete Structures and Matrix Algebra,1,G05,Lecture
2026-09-07,Thursday,15:15,16:15,DSMA,Discrete Structures and Matrix Algebra,5,G09,Lecture
2026-09-07,Thursday,15:15,16:15,DSMA,Discrete Structures and Matrix Algebra,2,G07,Lecture
2026-09-07,Friday,15:15,16:15,DLD,Digital Logic Design,2,Lab 114/102,Lab
2026-09-07,Friday,15:15,16:15,OCW,Overview of Computer Workshop,3,G07,Lecture
2026-09-07,Saturday,15:15,16:15,FHVE,Foundations in Human Values and Ethics,ALL,,Common
2026-09-07,Monday,16:30,17:30,DSMA,Discrete Structures and Matrix Algebra,5,G04,Lecture
2026-09-07,Tuesday,16:30,17:30,CP,Computer Programming,1,G06,Lecture
2026-09-07,Tuesday,16:30,17:30,DSMA,Discrete Structures and Matrix Algebra,4,G09,Lecture
2026-09-07,Tuesday,16:30,17:30,OCW,Overview of Computer Workshop,3,G07,Lecture
2026-09-07,Wednesday,16:30,17:30,EE,EE (sections not confirmed),ALL,G08,Lecture
2026-09-07,Thursday,16:30,17:30,EDL,EDL (sections not confirmed) ,ALL,G08,Lecture
2026-09-07,Friday,16:30,17:30,EE,EE (sections not confirmed),ALL,G06,Lecture
2026-09-07,Saturday,16:30,17:30,EDL,EDL (sections not confirmed),ALL,G04,Lecture
2026-09-07,Wednesday,17:30,18:30,EE,EE (sections not confirmed),ALL,G08,Lecture
2026-09-07,Thursday,17:30,18:30,EDL,EDL (sections not confirmed),ALL,G08,Lecture
2026-09-07,Friday,17:30,18:30,EE,EE (sections not confirmed),ALL,G06,Lecture
2026-09-07,Saturday,17:30,18:30,EDL,EDL (sections not confirmed),ALL,G04,Lecture
